Mpa,PLC
0,-5.211120349
0,-2.743810903
0.5,-2.320277627
0,-1.878386607
0,-1.317291098
1,-1.14952596
1.5,-0.668400405
0,0.209354054
0.5,2.946471956
0.5,4.271181999
0,5.938808448
1,7.006734346
0,7.26750998
2,9.805202374
1,10.38086742
0,11.9227353
0,12.17317019
0.5,13.27360972
1,14.65287025
2,16.5534556
1,17.99783007
1,18.21818708
1,18.42940239
0.5,19.442004
0.5,19.64915779
1.5,21.8103392
0.5,22.68445586
1.5,28.83126164
3,33.52864931
2.5,35.22598782
2.5,37.63292063
1.5,37.80134196
1.5,37.94269069
1.5,38.06927629
1,40.22355549
2,44.2488467
2.5,46.90051011
2,48.14221913
3,48.49160427
2,48.52015052
2,49.94283894
3,52.94946552
3,55.45763603
1.5,57.44827257
3,59.02139
3,65.96776078
3,69.25258377
3,75.08968275
4,76.84360541
3,81.06774398
3,83.50493011
6,84.88881924
3,85.01099852
4,88.46605714
5,88.68015491
4,89.62149204
6,90.8690596
5,91.99944045
5,92.83590731
4,94.37499628
4,97.98771587
4,99.14693215
4,99.65865278
4,103.7472604
